DateTime,Open,High,Low,Close,Volume
2025-06-16 06:21:00,6050.75,6053.25,6050.75,6051.0,642
2025-06-16 06:24:00,6051.25,6053.25,6051.25,6052.25,627
2025-06-16 06:27:00,6052.25,6053.0,6051.0,6051.75,347
2025-06-16 06:30:00,6051.75,6053.75,6050.0,6051.5,742
2025-06-16 06:33:00,6051.0,6051.75,6049.75,6050.75,267
2025-06-16 06:36:00,6050.5,6053.25,6050.5,6053.0,268
2025-06-16 06:39:00,6053.0,6053.5,6052.0,6053.25,182
2025-06-16 06:42:00,6053.0,6056.25,6052.25,6052.75,1025
2025-06-16 06:45:00,6053.0,6055.5,6053.0,6054.75,471
2025-06-16 06:48:00,6055.0,6055.25,6054.0,6054.0,310
2025-06-16 06:51:00,6054.5,6055.75,6053.5,6055.5,310
2025-06-16 06:54:00,6055.5,6057.25,6055.5,6056.0,511
2025-06-16 06:57:00,6056.0,6056.5,6054.75,6055.0,369
2025-06-16 07:00:00,6055.25,6060.25,6054.75,6060.0,1639
2025-06-16 07:03:00,6059.75,6062.5,6058.0,6060.0,1130
2025-06-16 07:06:00,6060.25,6062.0,6058.5,6061.5,702
2025-06-16 07:09:00,6061.5,6062.75,6059.75,6061.0,650
2025-06-16 07:12:00,6061.5,6063.75,6061.25,6062.5,939
2025-06-16 07:15:00,6062.5,6067.25,6062.5,6064.75,1282
2025-06-16 07:18:00,6065.25,6065.25,6062.75,6063.0,569
2025-06-16 07:21:00,6062.75,6063.75,6059.75,6060.0,684
2025-06-16 07:24:00,6060.0,6061.75,6058.75,6059.5,637
2025-06-16 07:27:00,6059.5,6063.5,6059.25,6063.25,607
2025-06-16 07:30:00,6063.25,6066.25,6062.75,6065.75,858
2025-06-16 07:33:00,6065.75,6068.0,6065.75,6067.0,938
2025-06-16 07:36:00,6066.75,6066.75,6063.75,6065.0,431
2025-06-16 07:39:00,6065.0,6066.25,6064.0,6066.0,246
2025-06-16 07:42:00,6066.25,6066.5,6063.25,6064.75,504
2025-06-16 07:45:00,6065.0,6066.75,6063.75,6065.25,471
2025-06-16 07:48:00,6065.0,6065.25,6063.75,6065.0,441
2025-06-16 07:51:00,6065.25,6068.5,6065.25,6065.75,2779
2025-06-16 07:54:00,6065.5,6066.0,6063.25,6065.25,308
2025-06-16 07:57:00,6065.5,6066.5,6064.25,6066.25,267
2025-06-16 08:00:00,6066.5,6067.0,6060.75,6061.5,1112
2025-06-16 08:03:00,6061.5,6062.5,6059.0,6060.0,664
2025-06-16 08:06:00,6060.0,6064.0,6059.75,6061.25,595
2025-06-16 08:09:00,6061.5,6064.0,6060.75,6062.75,500
2025-06-16 08:12:00,6063.0,6063.25,6060.5,6060.75,763
2025-06-16 08:15:00,6061.0,6062.0,6060.25,6061.0,310
2025-06-16 08:18:00,6061.0,6061.25,6058.75,6059.0,489
2025-06-16 08:21:00,6059.0,6061.25,6058.0,6061.0,440
2025-06-16 08:24:00,6061.0,6061.75,6060.5,6061.25,192
2025-06-16 08:27:00,6061.25,6062.5,6060.5,6061.75,294
2025-06-16 08:30:00,6062.0,6066.25,6061.0,6061.25,1291
2025-06-16 08:33:00,6061.25,6063.25,6061.0,6063.0,230
2025-06-16 08:36:00,6063.0,6066.25,6060.5,6066.0,541
2025-06-16 08:39:00,6065.5,6065.5,6061.75,6062.0,328
2025-06-16 08:42:00,6062.0,6066.25,6061.75,6066.0,263
2025-06-16 08:45:00,6065.75,6066.25,6064.75,6064.75,267
2025-06-16 08:48:00,6065.0,6066.25,6065.0,6066.0,261
2025-06-16 08:51:00,6066.25,6066.5,6065.25,6065.75,266
2025-06-16 08:54:00,6065.75,6067.0,6065.5,6066.25,222
2025-06-16 08:57:00,6066.25,6066.5,6065.5,6065.5,236
2025-06-16 09:00:00,6065.75,6067.0,6065.0,6066.25,405
2025-06-16 09:03:00,6066.25,6066.25,6062.25,6062.75,448
2025-06-16 09:06:00,6062.5,6064.5,6061.75,6061.75,251
2025-06-16 09:09:00,6062.0,6062.5,6060.75,6061.25,272
2025-06-16 09:12:00,6061.25,6061.25,6058.0,6058.25,803
2025-06-16 09:15:00,6058.0,6058.75,6056.5,6057.5,608
2025-06-16 09:18:00,6057.5,6059.5,6057.0,6059.0,462
2025-06-16 09:21:00,6059.0,6059.5,6058.25,6058.5,158
2025-06-16 09:24:00,6058.75,6061.5,6058.75,6060.25,558
2025-06-16 09:27:00,6060.25,6060.75,6058.25,6058.5,421
2025-06-16 09:30:00,6058.25,6058.75,6057.75,6058.0,215
2025-06-16 09:33:00,6058.0,6058.0,6056.5,6057.75,336
2025-06-16 09:36:00,6057.75,6057.75,6056.75,6056.75,331
2025-06-16 09:39:00,6056.75,6056.75,6053.5,6055.5,1390
2025-06-16 09:42:00,6055.5,6056.0,6054.5,6054.5,294
2025-06-16 09:45:00,6054.75,6057.25,6054.5,6056.5,522
2025-06-16 09:48:00,6056.5,6056.75,6054.0,6054.75,366
2025-06-16 09:51:00,6054.75,6057.0,6054.75,6056.75,278
2025-06-16 09:54:00,6056.75,6057.0,6056.0,6056.5,230
2025-06-16 09:57:00,6056.75,6058.25,6056.5,6057.75,403
2025-06-16 10:00:00,6057.75,6057.75,6055.5,6056.25,414
2025-06-16 10:03:00,6056.25,6057.25,6055.75,6056.0,190
2025-06-16 10:06:00,6056.0,6058.25,6055.75,6056.25,390
2025-06-16 10:09:00,6056.0,6059.25,6056.0,6057.75,469
2025-06-16 10:12:00,6057.5,6060.0,6057.5,6059.25,566
2025-06-16 10:15:00,6059.0,6060.5,6058.75,6059.25,335
2025-06-16 10:18:00,6059.5,6060.75,6059.25,6060.5,341
2025-06-16 10:21:00,6060.5,6060.75,6059.75,6059.75,163
2025-06-16 10:24:00,6060.0,6060.75,6059.75,6060.0,312
2025-06-16 10:27:00,6060.25,6060.5,6059.25,6060.0,227
2025-06-16 10:30:00,6060.25,6060.25,6059.75,6060.0,169
2025-06-16 10:33:00,6060.0,6060.75,6059.75,6060.5,211
2025-06-16 10:36:00,6060.25,6061.25,6059.0,6059.25,423
2025-06-16 10:39:00,6059.5,6060.0,6056.5,6056.75,486
2025-06-16 10:42:00,6056.75,6057.25,6055.75,6056.75,534
2025-06-16 10:45:00,6056.75,6057.75,6055.75,6057.0,344
2025-06-16 10:48:00,6056.75,6060.75,6056.75,6059.75,561
2025-06-16 10:51:00,6059.5,6061.75,6059.25,6061.25,480
2025-06-16 10:54:00,6061.5,6062.5,6061.0,6061.5,468
2025-06-16 10:57:00,6061.75,6064.5,6061.5,6064.25,775
2025-06-16 11:00:00,6064.25,6065.5,6059.25,6060.25,1367
2025-06-16 11:03:00,6060.25,6062.25,6060.0,6060.75,814
2025-06-16 11:06:00,6060.75,6062.0,6059.25,6059.5,747
2025-06-16 11:09:00,6059.5,6060.5,6059.5,6059.75,356
2025-06-16 11:12:00,6059.75,6060.5,6059.0,6059.25,314
2025-06-16 11:15:00,6059.25,6062.0,6058.0,6060.75,620
2025-06-16 11:18:00,6060.5,6061.25,6060.0,6060.25,351
2025-06-16 11:21:00,6060.5,6061.75,6059.5,6060.75,360
2025-06-16 11:24:00,6061.0,6062.25,6060.5,6061.75,447
2025-06-16 11:27:00,6061.75,6062.75,6061.0,6061.75,280
2025-06-16 11:30:00,6061.5,6063.75,6061.5,6063.5,525
2025-06-16 11:33:00,6063.5,6064.0,6063.25,6063.25,353
2025-06-16 11:36:00,6063.5,6067.25,6063.5,6067.0,781
2025-06-16 11:39:00,6067.25,6068.5,6066.25,6066.75,1254
2025-06-16 11:42:00,6066.75,6068.25,6066.75,6067.75,358
